date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:04	104644/104644	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2007:49:03%20GMT	http://zohaibanwer.com/	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/index.html	(from )
12:49:05	70/70	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Jul%202020%2007:49:02%20GMT	http://zohaibanwer.com/robots.txt		(from )
12:49:12	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2010%20Jul%202020%2007:49:06%20GMT	http://zohaibanwer.com/xmlrpc.php	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/xmlrpc.php	(from http://zohaibanwer.com/)
12:49:12	4232/4232	---M-Z	200	added ('OK')	application/rss+xml	etag:%22bde92c99b63e29ea8c756cc46a65e167%22	http://zohaibanwer.com/feed/	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/feed/index.html	(from http://zohaibanwer.com/)
12:49:12	53593/53593	---M-Z	200	added ('OK')	text/css	etag:%22d159-5ef8f4f0-0;gz%22	http://zohaibanwer.com/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-includes/css/dist/block-library/style.min7661.css	(from http://zohaibanwer.com/)
12:49:13	1743/1743	---M-Z	200	added ('OK')	text/css	etag:%226cf-5c0b7e24-0;gz%22	http://zohaibanwer.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.5	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/plugins/contact-form-7/includes/css/styles1748.css	(from http://zohaibanwer.com/)
12:49:14	462190/462190	---M-Z	200	added ('OK')	text/css	etag:%2270d6e-5c0b7dfc-0;gz%22	http://zohaibanwer.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/plugins/js_composer/assets/css/js_composer.min7661.css	(from http://zohaibanwer.com/)
12:49:15	180013/180013	---M-Z	200	added ('OK')	text/css	etag:%222bf2d-5e9736ba-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/css/bootstrap_1.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/css/bootstrap_17661.css	(from http://zohaibanwer.com/)
12:49:15	133986/133986	---M-Z	200	added ('OK')	text/css	etag:%2220b62-5e9736ba-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/css/plugins_1.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/css/plugins_17661.css	(from http://zohaibanwer.com/)
12:49:16	337095/337095	---M-Z	200	added ('OK')	text/css	etag:%22524c7-5e9736b9-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/css/theme_elements_1.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/css/theme_elements_17661.css	(from http://zohaibanwer.com/)
12:49:17	1927/1927	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e454bd4c50b21678d9b1ff80c12648f%22	http://zohaibanwer.com/comments/feed/	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/comments/feed/index.html	(from http://zohaibanwer.com/)
12:49:17	305195/305195	---M-Z	200	added ('OK')	text/css	etag:%224a82b-5e9736b8-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/css/theme_1.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/css/theme_17661.css	(from http://zohaibanwer.com/)
12:49:18	176495/176495	---M-Z	200	added ('OK')	text/css	etag:%222b16f-5e9736b7-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/css/skin_1.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/css/skin_17661.css	(from http://zohaibanwer.com/)
12:49:19	813/813	---M-Z	200	added ('OK')	text/css	etag:%2232d-5c0b77dc-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/style.css?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/style7661.css	(from http://zohaibanwer.com/)
12:49:20	10056/10056	---M-Z	200	added ('OK')	application/x-javascript	etag:%222748-573ef7e8-0;gz%22	http://zohaibanwer.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://zohaibanwer.com/)
12:49:20	96873/96873	---M-Z	200	added ('OK')	application/x-javascript	etag:%2217a69-5ef8f4fd-0;gz%22	http://zohaibanwer.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-includes/js/jquery/jquery4a5f.js	(from http://zohaibanwer.com/)
12:49:21	2532/2532	---MCZ	200	added ('OK')	application/javascript	etag:W/%225afd494c-9e4%22	http://cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min.js?ver=5.4.2	F:/Juniad/Junaid%20Protfolio%20web/cdnjs.cloudflare.com/ajax/libs/jquery-easing/1.4.1/jquery.easing.min7661.js	(from http://zohaibanwer.com/)
12:49:21	798/798	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2007:49:22%20GMT	http://zohaibanwer.com/xmlrpc.php?rsd	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/xmlrpc0db0.php	(from http://zohaibanwer.com/)
12:49:24	332415/332415	---M-Z	200	added ('OK')	application/x-javascript	etag:%225127f-5c0b77db-0;gz%22	http://zohaibanwer.com/wp-content/themes/porto/js/plugins.min.js?ver=4.0.5	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/themes/porto/js/plugins.min631d.js	(from http://zohaibanwer.com/)
12:49:24	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-52a90f10-0;gz%22	http://zohaibanwer.com/wp-includes/wlwmanifest.xml	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-includes/wlwmanifest.xml	(from http://zohaibanwer.com/)
12:49:25	2209/2209	---M--	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2007:49:23%20GMT	http://zohaibanwer.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzohaibanwer.com%2F	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-json/oembed/1.0/embedb0c6.json	(from http://zohaibanwer.com/)
12:49:25	2476/2476	---M-Z	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2007:49:26%20GMT	http://zohaibanwer.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fzohaibanwer.com%2F&format=xml	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-json/oembed/1.0/embedaf27	(from http://zohaibanwer.com/)
12:49:28	12958/12958	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4ad5-329e%22	https://cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.css	F:/Juniad/Junaid%20Protfolio%20web/cdnjs.cloudflare.com/ajax/libs/simple-line-icons/2.4.1/css/simple-line-icons.css	(from http://zohaibanwer.com/)
12:49:29	70901/70901	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f081c3f-114f5%22	http://static.zotabox.com/b/9/b9b6c553b6cd19d6683029ef19a84d6e/widgets.js	F:/Juniad/Junaid%20Protfolio%20web/static.zotabox.com/b/9/b9b6c553b6cd19d6683029ef19a84d6e/widgets.js	(from http://zohaibanwer.com/)
12:49:29	20665/20665	---M--	200	added ('OK')	image/jpeg	etag:%2250b9-5c0b7e6f-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2017/02/contact-bg-1-1.jpg?id=50	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2017/02/contact-bg-1-10c98.jpg	(from http://zohaibanwer.com/)
12:49:29	78395/78395	---MC-	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2007:49:22%20GMT	http://zohaibanwer.com/wp-json/	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-json/index.html	(from http://zohaibanwer.com/)
12:49:30	26673/26673	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2007:49:30%20GMT	http://zohaibanwer.com/author/admin/	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/author/admin/index.html	(from http://zohaibanwer.com/)
12:49:37	51349/51349	---M--	200	added ('OK')	image/png	etag:%22c895-5c0b7e61-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2017/02/mouse-1.png	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2017/02/mouse-1.png	(from http://zohaibanwer.com/)
12:49:39	51200/51200	---M--	200	added ('OK')	application/msword	etag:%22c800-5d0dfc9a-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2019/06/Zohaib-Anwer-CV.doc	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2019/06/Zohaib-Anwer-CV.doc	(from http://zohaibanwer.com/)
12:49:46	96577/96577	---M--	200	added ('OK')	image/jpeg	etag:%2217941-5ef92c6b-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2020/06/016.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2020/06/016.jpg	(from http://zohaibanwer.com/)
12:49:48	129724/129724	---M--	200	added ('OK')	image/jpeg	etag:%221fabc-5c157d94-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2018/12/ZohaibAnwer_designer.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2018/12/ZohaibAnwer_designer.jpg	(from http://zohaibanwer.com/)
12:50:23	281937/281937	---M--	200	added ('OK')	image/jpeg	etag:%2244d51-5ef92bcf-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2020/06/022.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2020/06/022.jpg	(from http://zohaibanwer.com/)
12:50:31	326522/326522	---M--	200	added ('OK')	image/jpeg	etag:%224fb7a-5ef92a03-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2020/06/021.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2020/06/021.jpg	(from http://zohaibanwer.com/)
12:50:38	336838/336838	---M--	200	added ('OK')	image/jpeg	etag:%22523c6-5ef929c9-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2020/06/020.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2020/06/020.jpg	(from http://zohaibanwer.com/)
12:53:11	200240/200240	---M--	200	added ('OK')	image/jpeg	etag:%2230e30-5ef925a6-0;;;%22	http://zohaibanwer.com/wp-content/uploads/2020/06/014.jpg	F:/Juniad/Junaid%20Protfolio%20web/zohaibanwer.com/wp-content/uploads/2020/06/014.jpg	(from http://zohaibanwer.com/)
